Name,ProductKey,Type,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.lifeCycle,vyzn.catalog.ch.eBKPh.Section,vyzn.catalogue.SourceENV,categoryPath
"Fundament, Bodenplatte ungedämmt (SIA2032.v2020)","Fundament, Bodenplatte ungedämmt (SIA2032.v2020)",COMPONENT,4.5,1.63,m2/Jahr,area,,C 1,SIA 2032 Anhang D v2020,"Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Fundament, Bodenplatte"
"Fundament, Bodenplatte gedämmt (SIA2032.v2020)","Fundament, Bodenplatte gedämmt (SIA2032.v2020)",COMPONENT,7.37,2.71,m2/Jahr,area,,C 1,SIA 2032 Anhang D v2020,"Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Fundament, Bodenplatte"
Aussenwand unter Terrain ungedämmt (SIA2032.v2020),Aussenwand unter Terrain ungedämmt (SIA2032.v2020),COMPONENT,4.62,1.51,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand unter Terrain
Aussenwand unter Terrain gedämmt (SIA2032.v2020),Aussenwand unter Terrain gedämmt (SIA2032.v2020),COMPONENT,8.27,2.74,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand unter Terrain
Dach unter Terrain ungedämmt (SIA2032.v2020),Dach unter Terrain ungedämmt (SIA2032.v2020),COMPONENT,5.84,1.91,m2/Jahr,area,,C 4.4,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Dach unter Terrain
Dach unter Terrain gedämmt (SIA2032.v2020),Dach unter Terrain gedämmt (SIA2032.v2020),COMPONENT,11.34,3.62,m2/Jahr,area,,C 4.4,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Dach unter Terrain
Betonwand (mit Innenputz) (SIA2032.v2020),Betonwand (mit Innenputz) (SIA2032.v2020),COMPONENT,3.59,1.23,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwandkonstruktion über Terrain
Backsteinwand (mit Innenputz) (SIA2032.v2020),Backsteinwand (mit Innenputz) (SIA2032.v2020),COMPONENT,3.28,1.09,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwandkonstruktion über Terrain
Holzwand (mit innerer Gipsbekleidung) (SIA2032.v2020),Holzwand (mit innerer Gipsbekleidung) (SIA2032.v2020),COMPONENT,1.19,0.27,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwandkonstruktion über Terrain
Einsteinmauerwerk dämmend (mit Innenputz) (SIA2032.v2020),Einsteinmauerwerk dämmend (mit Innenputz) (SIA2032.v2020),COMPONENT,7.04,1.98,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwandkonstruktion über Terrain
Stützenraster (zu Fassadensystem) (SIA2032.v2020),Stützenraster (zu Fassadensystem) (SIA2032.v2020),COMPONENT,0.55,0.14,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwandkonstruktion über Terrain
"Äussere Beschichtung, Putz (SIA2032.v2020)","Äussere Beschichtung, Putz (SIA2032.v2020)",COMPONENT,0.58,0.2,m2/Jahr,area,,E 2,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Äussere Wandbekleidung über Terrain
Verputzte Aussenwärmedämmung (SIA2032.v2020),Verputzte Aussenwärmedämmung (SIA2032.v2020),COMPONENT,4.4,1.14,m2/Jahr,area,,E 2,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Äussere Wandbekleidung über Terrain
"Bekleidung Holz, hinterlüftet (SIA2032.v2020)","Bekleidung Holz, hinterlüftet (SIA2032.v2020)",COMPONENT,2.55,0.46,m2/Jahr,area,,E 2,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Äussere Wandbekleidung über Terrain
"Bekleidung Faserzement/ Naturstein, hinterlüftet (SIA2032.v2020)","Bekleidung Faserzement/ Naturstein, hinterlüftet (SIA2032.v2020)",COMPONENT,4.78,1.04,m2/Jahr,area,,E 2,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Äussere Wandbekleidung über Terrain
"Bekleidung Metall / Glas, hinterlüftet (SIA2032.v2020)","Bekleidung Metall / Glas, hinterlüftet (SIA2032.v2020)",COMPONENT,8.2,1.79,m2/Jahr,area,,E 2,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Äussere Wandbekleidung über Terrain
"Zweischalenwand, äussere Schale (SIA2032.v2020)","Zweischalenwand, äussere Schale (SIA2032.v2020)",COMPONENT,8.01,2.54,m2/Jahr,area,,E 2,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Äussere Wandbekleidung über Terrain
Fassadensystem (SIA2032.v2020),Fassadensystem (SIA2032.v2020),COMPONENT,26,5.94,m2/Jahr,area,,E 2,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Äussere Wandbekleidung über Terrain
"Betonwand (mit Innenputz) + Äussere Beschichtung, Putz (SIA2032.v2020)","Betonwand (mit Innenputz) + Äussere Beschichtung, Putz (SIA2032.v2020)",COMPONENT,4.17,1.43,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
Betonwand (mit Innenputz) + Verputzte Aussenwärmedämmung (SIA2032.v2020),Betonwand (mit Innenputz) + Verputzte Aussenwärmedämmung (SIA2032.v2020),COMPONENT,7.99,2.37,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Betonwand (mit Innenputz) + Bekleidung Holz, hinterlüftet (SIA2032.v2020)","Betonwand (mit Innenputz) + Bekleidung Holz, hinterlüftet (SIA2032.v2020)",COMPONENT,6.14,1.69,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Betonwand (mit Innenputz) + Bekleidung Faserzement/ Naturstein, hinterlüftet (SIA2032.v2020)","Betonwand (mit Innenputz) + Bekleidung Faserzement/ Naturstein, hinterlüftet (SIA2032.v2020)",COMPONENT,8.37,2.27,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Betonwand (mit Innenputz) + Bekleidung Metall / Glas, hinterlüftet (SIA2032.v2020)","Betonwand (mit Innenputz) + Bekleidung Metall / Glas, hinterlüftet (SIA2032.v2020)",COMPONENT,11.79,3.02,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Betonwand (mit Innenputz) + Zweischalenwand, äussere Schale (SIA2032.v2020)","Betonwand (mit Innenputz) + Zweischalenwand, äussere Schale (SIA2032.v2020)",COMPONENT,11.6,3.77,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Backsteinwand (mit Innenputz) + Äussere Beschichtung, Putz (SIA2032.v2020)","Backsteinwand (mit Innenputz) + Äussere Beschichtung, Putz (SIA2032.v2020)",COMPONENT,3.86,1.29,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
Backsteinwand (mit Innenputz) + Verputzte Aussenwärmedämmung (SIA2032.v2020),Backsteinwand (mit Innenputz) + Verputzte Aussenwärmedämmung (SIA2032.v2020),COMPONENT,7.68,2.23,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Backsteinwand (mit Innenputz) + Bekleidung Holz, hinterlüftet (SIA2032.v2020)","Backsteinwand (mit Innenputz) + Bekleidung Holz, hinterlüftet (SIA2032.v2020)",COMPONENT,5.83,1.55,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Backsteinwand (mit Innenputz) + Bekleidung Faserzement/ Naturstein, hinterlüftet (SIA2032.v2020)","Backsteinwand (mit Innenputz) + Bekleidung Faserzement/ Naturstein, hinterlüftet (SIA2032.v2020)",COMPONENT,8.06,2.13,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Backsteinwand (mit Innenputz) + Bekleidung Metall / Glas, hinterlüftet (SIA2032.v2020)","Backsteinwand (mit Innenputz) + Bekleidung Metall / Glas, hinterlüftet (SIA2032.v2020)",COMPONENT,11.48,2.88,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Backsteinwand (mit Innenputz) + Zweischalenwand, äussere Schale (SIA2032.v2020)","Backsteinwand (mit Innenputz) + Zweischalenwand, äussere Schale (SIA2032.v2020)",COMPONENT,11.29,3.63,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Holzwand (mit innerer Gipsbekleidung) + Äussere Beschichtung, Putz (SIA2032.v2020)","Holzwand (mit innerer Gipsbekleidung) + Äussere Beschichtung, Putz (SIA2032.v2020)",COMPONENT,1.77,0.47,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
Holzwand (mit innerer Gipsbekleidung) + Verputzte Aussenwärmedämmung (SIA2032.v2020),Holzwand (mit innerer Gipsbekleidung) + Verputzte Aussenwärmedämmung (SIA2032.v2020),COMPONENT,5.59,1.41,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Holzwand (mit innerer Gipsbekleidung) + Bekleidung Holz, hinterlüftet (SIA2032.v2020)","Holzwand (mit innerer Gipsbekleidung) + Bekleidung Holz, hinterlüftet (SIA2032.v2020)",COMPONENT,3.74,0.73,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Holzwand (mit innerer Gipsbekleidung) + Bekleidung Faserzement/ Naturstein, hinterlüftet (SIA2032.v2020)","Holzwand (mit innerer Gipsbekleidung) + Bekleidung Faserzement/ Naturstein, hinterlüftet (SIA2032.v2020)",COMPONENT,5.97,1.31,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Holzwand (mit innerer Gipsbekleidung) + Bekleidung Metall / Glas, hinterlüftet (SIA2032.v2020)","Holzwand (mit innerer Gipsbekleidung) + Bekleidung Metall / Glas, hinterlüftet (SIA2032.v2020)",COMPONENT,9.39,2.06,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Holzwand (mit innerer Gipsbekleidung) + Zweischalenwand, äussere Schale (SIA2032.v2020)","Holzwand (mit innerer Gipsbekleidung) + Zweischalenwand, äussere Schale (SIA2032.v2020)",COMPONENT,9.2,2.81,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Einsteinmauerwerk dämmend (mit Innenputz) + Äussere Beschichtung, Putz (SIA2032.v2020)","Einsteinmauerwerk dämmend (mit Innenputz) + Äussere Beschichtung, Putz (SIA2032.v2020)",COMPONENT,7.62,2.18,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
Einsteinmauerwerk dämmend (mit Innenputz) + Verputzte Aussenwärmedämmung (SIA2032.v2020),Einsteinmauerwerk dämmend (mit Innenputz) + Verputzte Aussenwärmedämmung (SIA2032.v2020),COMPONENT,11.44,3.12,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Einsteinmauerwerk dämmend (mit Innenputz) + Bekleidung Holz, hinterlüftet (SIA2032.v2020)","Einsteinmauerwerk dämmend (mit Innenputz) + Bekleidung Holz, hinterlüftet (SIA2032.v2020)",COMPONENT,9.59,2.44,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Einsteinmauerwerk dämmend (mit Innenputz) + Bekleidung Faserzement/ Naturstein, hinterlüftet (SIA2032.v2020)","Einsteinmauerwerk dämmend (mit Innenputz) + Bekleidung Faserzement/ Naturstein, hinterlüftet (SIA2032.v2020)",COMPONENT,11.82,3.02,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Einsteinmauerwerk dämmend (mit Innenputz) + Bekleidung Metall / Glas, hinterlüftet (SIA2032.v2020)","Einsteinmauerwerk dämmend (mit Innenputz) + Bekleidung Metall / Glas, hinterlüftet (SIA2032.v2020)",COMPONENT,15.24,3.77,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Einsteinmauerwerk dämmend (mit Innenputz) + Zweischalenwand, äussere Schale (SIA2032.v2020)","Einsteinmauerwerk dämmend (mit Innenputz) + Zweischalenwand, äussere Schale (SIA2032.v2020)",COMPONENT,15.05,4.52,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
Stützenraster (zu Fassadensystem) + Fassadensystem (SIA2032.v2020),Stützenraster (zu Fassadensystem) + Fassadensystem (SIA2032.v2020),COMPONENT,26.55,6.08,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand über Terrain
"Fenster Mittelwert 3-fach IV, inkl. Sonnenschutz (SIA2032.v2020)","Fenster Mittelwert 3-fach IV, inkl. Sonnenschutz (SIA2032.v2020)",COMPONENT,22.51,5.24,m2/Jahr,area,,E 3,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Fenster
Betondecke 25 cm (mit Innenputz) (SIA2032.v2020),Betondecke 25 cm (mit Innenputz) (SIA2032.v2020),COMPONENT,4.15,1.45,m2/Jahr,area,,C 4,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Dachkonstruktion
Betondecke 40 cm (mit Innenputz) (SIA2032.v2020),Betondecke 40 cm (mit Innenputz) (SIA2032.v2020),COMPONENT,7.44,2.42,m2/Jahr,area,,C 4,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Dachkonstruktion
Profilblech Verbunddecke (SIA2032.v2020),Profilblech Verbunddecke (SIA2032.v2020),COMPONENT,5.34,1.4,m2/Jahr,area,,C 4,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Dachkonstruktion
Massivholzdecke (mit unterer Gipsbekleidung) (SIA2032.v2020),Massivholzdecke (mit unterer Gipsbekleidung) (SIA2032.v2020),COMPONENT,2.69,0.52,m2/Jahr,area,,C 4,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Dachkonstruktion
Holzbalkendecke (mit unterer Gipsbekleidung) (SIA2032.v2020),Holzbalkendecke (mit unterer Gipsbekleidung) (SIA2032.v2020),COMPONENT,2.7,0.57,m2/Jahr,area,,C 4,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Dachkonstruktion
Dachhaut Flachdach gedämmt (SIA2032.v2020),Dachhaut Flachdach gedämmt (SIA2032.v2020),COMPONENT,11.55,2.94,m2/Jahr,area,,F 1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Dachhaut
