mat_en,mat_de,source
Others,Andere,materialsdb.org
Water_Proof,Wasserdicht,materialsdb.org
Vapour_Proof,Dampfdicht,materialsdb.org
Concrete,Beton,materialsdb.org
Composite,Verbundwerkstoff,materialsdb.org
Films,Folie,materialsdb.org
Render,Verputz,materialsdb.org
Covering,Abdeckung,materialsdb.org
Glas,Glas,materialsdb.org
Soil,Erdreich,materialsdb.org
Wood_Timberproducts,Holz,materialsdb.org
Insulation,Dämmung,materialsdb.org
Masonry,Mauerwerk,materialsdb.org
Metal,Metall,materialsdb.org
Mortar,Mörtel,materialsdb.org
Plastics,Kunststoff,materialsdb.org
Stone,Stein,materialsdb.org